2025-06-15 17:18:53,087 - INFO - Processing file: /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:30:12,697 - INFO - Processing file: /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:34:02,627 - INFO - Processing file: /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:35:46,270 - INFO - Processing file: /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:37:43,356 - INFO - Processing file: /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:38:13,220 - INFO - Processing file: /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:38:18,669 - INFO - Processing file: /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:39:30,364 - INFO - Processing file: /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:40:08,258 - INFO - Done: Lot 0.01, Loss 5, TP 10 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:40:38,102 - INFO - Done: Lot 0.01, Loss 5, TP 20 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:41:08,917 - INFO - Done: Lot 0.01, Loss 5, TP 30 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:41:39,375 - INFO - Done: Lot 0.01, Loss 5, TP 40 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:42:08,740 - INFO - Done: Lot 0.01, Loss 5, TP 50 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:42:37,957 - INFO - Done: Lot 0.01, Loss 5, TP 60 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:43:12,685 - INFO - Done: Lot 0.01, Loss 5, TP 70 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:43:50,068 - INFO - Done: Lot 0.01, Loss 5, TP 80 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:44:19,394 - INFO - Done: Lot 0.01, Loss 5, TP 90 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:44:48,618 - INFO - Done: Lot 0.01, Loss 5, TP 100 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:45:17,833 - INFO - Done: Lot 0.01, Loss 10, TP 10 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:45:46,947 - INFO - Done: Lot 0.01, Loss 10, TP 20 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:46:17,296 - INFO - Done: Lot 0.01, Loss 10, TP 30 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:46:46,037 - INFO - Done: Lot 0.01, Loss 10, TP 40 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:47:14,954 - INFO - Done: Lot 0.01, Loss 10, TP 50 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:47:44,508 - INFO - Done: Lot 0.01, Loss 10, TP 60 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:48:14,204 - INFO - Done: Lot 0.01, Loss 10, TP 70 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:48:43,871 - INFO - Done: Lot 0.01, Loss 10, TP 80 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:49:13,500 - INFO - Done: Lot 0.01, Loss 10, TP 90 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:49:42,668 - INFO - Done: Lot 0.01, Loss 10, TP 100 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:50:11,688 - INFO - Done: Lot 0.01, Loss 15, TP 10 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 17:50:40,676 - INFO - Done: Lot 0.01, Loss 15, TP 20 for /Users/ahmed/Desktop/backtest/DATA1.csv
